OBJECTID,id,airport_ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,description,frequency_mhz,runway_length_ft,runway_width_ft,runway_surface,runway_lighted,runway_closed,x,y,standard_name,runway_length_m,runway_width_m,runway_capacity,continent_name,hub_priority_score,distance_from_ams_km,strategic_distance
75905,27077,YMTI,small_airport,Mornington Island Airport,-16.6625003814697,139.177993774414,33.0,OC,AU,AU-QLD,nan,yes,YMTI,ONG,nan,nan,https://en.wikipedia.org/wiki/Mornington_Island_Airport,nan,CTAF,126.7,4987.0,98.0,PER,1.0,0.0,15493223.3966,-1881573.2091,Mornington Island,1520.0376,29.8704,small,Oceania,2,14394.37171629419,global
75929,27080,YMYB,small_airport,Maryborough Airport,-25.513528,152.713603,38.0,OC,AU,AU-QLD,Maryborough,yes,YMYB,MBH,nan,nan,https://en.wikipedia.org/wiki/Maryborough_Airport_(Queensland),nan,CTAF,126.55,2904.0,98.0,GRS,1.0,0.0,17000000.5232,-2938952.9943,Maryborough,885.1392000000001,29.8704,small,Oceania,2,15995.151600421117,global
75941,27081,YNAR,medium_airport,Narrandera Airport,-34.7022018433,146.511993408,474.0,OC,AU,AU-NSW,Narrandera,yes,YNAR,NRA,nan,nan,https://en.wikipedia.org/wiki/Narrandera_Airport,nan,CTAF,126.7,3346.0,98.0,GVL,0.0,0.0,16309640.5013,-4123484.8464,Narrandera,1019.8608,29.8704,small,Oceania,3,16412.10875305359,global
75942,27082,YNBR,medium_airport,Narrabri Airport,-30.3192005157,149.82699585,788.0,OC,AU,AU-NSW,Narrabri,yes,YNBR,NAA,nan,http://narrabri.cfm.predelegation.com/index.cfm?page_id=1249,https://en.wikipedia.org/wiki/Narrabri_Airport,nan,CTAF,126.7,3980.0,98.0,GRS,0.0,0.0,16678664.8851,-3544646.4349,Narrabri,1213.104,29.8704,small,Oceania,3,16258.46261400562,global
75969,26898,YNPE,small_airport,Northern Peninsula Airport,-10.946194,142.455081,34.0,OC,AU,AU-QLD,Bamaga,yes,YNPE,ABM,nan,http://www.nparc.qld.gov.au/airport,https://en.wikipedia.org/wiki/Northern_Peninsula_Airport,"YBAM, Bamaga Airport, Bamaga Injinoo Airport, Somerset",CTAF,126.5,5462.0,98.0,ASP,1.0,0.0,15858027.0778,-1226005.5947,Northern Peninsula,1664.8176,29.8704,small,Oceania,2,14049.557047177672,global
75981,27088,YNTN,medium_airport,Normanton Airport,-17.68409,141.069664,73.0,OC,AU,AU-QLD,Normanton,yes,YNTN,NTN,nan,nan,https://en.wikipedia.org/wiki/Normanton_Airport,nan,CTAF,126.7,5499.0,98.0,ASP,1.0,0.0,15703803.1629,-2000604.7309,Normanton,1676.0952,29.8704,small,Oceania,3,14601.597657912645,global
75991,27090,YNWN,medium_airport,Newman Airport,-23.4178009033,119.803001404,1724.0,OC,AU,AU-WA,Newman,yes,YNWN,ZNE,nan,nan,https://en.wikipedia.org/wiki/Newman_Airport,nan,CTAF,126.7,6798.0,98.0,ASP,1.0,0.0,13336409.1118,-2682623.3963,Newman,2072.0304,29.8704,medium,Oceania,4,13722.678480135415,global
76007,27093,YOLD,small_airport,Olympic Dam Airport,-30.483861,136.876699,344.0,OC,AU,AU-SA,Olympic Dam,yes,YOLD,OLP,nan,nan,https://en.wikipedia.org/wiki/Olympic_Dam_Airport,nan,Weather Service,128.05,6102.0,98.0,ASP,1.0,0.0,15237044.4341,-3565898.5262,Olympic Dam,1859.8896000000002,29.8704,small,Oceania,2,15445.855136676208,global
76027,27096,YPAD,large_airport,Adelaide International Airport,-34.947512,138.533393,20.0,OC,AU,AU-SA,Adelaide,yes,YPAD,ADL,nan,nan,https://en.wikipedia.org/wiki/Adelaide_International_Airport,nan,Approach (East),118.2,10171.0,148.0,ASP,1.0,0.0,15421466.7666,-4156750.5203,Adelaide,3100.1208,45.110400000000006,large,Oceania,6,15904.508080759146,global
76028,27097,YPAG,medium_airport,Port Augusta Airport,-32.5069007873535,137.716995239258,56.0,OC,AU,AU-SA,nan,yes,YPAG,PUG,nan,nan,https://en.wikipedia.org/wiki/Port_Augusta_Airport,nan,CTAF,126.7,5413.0,98.0,ASP,1.0,0.0,15330585.7836,-3830034.7089,Port Augusta,1649.8824000000002,29.8704,small,Oceania,3,15662.265002967035,global
