iata_code,name,standard_name,type,latitude_deg,longitude_deg,elevation_ft,continent_name,iso_country,iso_region,municipality,runway_length_m,runway_width_m,runway_capacity,hub_priority_score,distance_from_ams_km,strategic_distance
ISG,New Ishigaki Airport,New Ishigaki,medium_airport,24.396389,124.245,102.0,Asia,JP,JP-47,Ishigaki,2000.0976,45.110400000000006,medium,4,9659.310620239823,global
SJK,Professor Urbano Ernesto Stumpf Airport,Professor Urbano Ernesto Stumpf,medium_airport,-23.2292,-45.8615,2120.0,South America,BR,BR-SP,São José Dos Campos,2676.1440000000002,45.110400000000006,medium,4,9736.449132923275,global
RBR,Rio Branco-Plácido de Castro International Airport,Rio Branco-Plácido de Castro,medium_airport,-9.869031,-67.893984,633.0,South America,BR,BR-AC,Rio Branco,2157.984,45.110400000000006,medium,4,9738.811127937039,global
GRJ,George Airport,George,medium_airport,-34.0056,22.378902,648.0,Africa,ZA,ZA-WC,George,2000.0976,45.110400000000006,medium,4,9753.291605200122,global
ARU,Araçatuba Airport,Araçatuba,medium_airport,-21.141479,-50.424575,1361.0,South America,BR,BR-SP,Araçatuba,2119.884,35.052,medium,4,9763.247554409027,global
JTC,Bauru/Arealva–Moussa Nakhal Tobias State Airport,Bauru/Arealva–Moussa Nakhal Tobias State,medium_airport,-22.160755,-49.070325,1962.0,South America,BR,BR-SP,Bauru,2009.8512,45.110400000000006,medium,4,9791.760306421309,global
CZS,Cruzeiro do Sul Airport,Cruzeiro do Sul,medium_airport,-7.59991,-72.769501,637.0,South America,BR,BR-AC,Cruzeiro Do Sul,2399.9952000000003,45.110400000000006,medium,4,9851.65348707764,global
PPB,Presidente Prudente Airport,Presidente Prudente,medium_airport,-22.1751,-51.424599,1477.0,South America,BR,BR-SP,Presidente Prudente,2110.1304,35.052,medium,4,9914.650961530999,global
CGR,Campo Grande Airport,Campo Grande,medium_airport,-20.469998,-54.673988,1833.0,South America,BR,BR-MS,Campo Grande,2599.944,45.110400000000006,medium,4,9926.61295262749,global
LDB,Governador José Richa Airport,Governador José Richa,medium_airport,-23.333599,-51.1301,1867.0,South America,BR,BR-PR,Londrina,2100.072,45.110400000000006,medium,4,10010.344066437729,global
MGF,Regional de Maringá - Sílvio Name Júnior Airport,Regional de Maringá - Sílvio Name Júnior,medium_airport,-23.47606,-52.016187,1801.0,South America,BR,BR-PR,Maringá,2379.8784,45.110400000000006,medium,4,10070.006714339323,global
PMG,Ponta Porã Airport,Ponta Porã,medium_airport,-22.549601,-55.702599,2156.0,South America,BR,BR-MS,Ponta Porã,2000.0976,45.110400000000006,medium,4,10179.12409294051,global
IGU,Cataratas International Airport,Cataratas,medium_airport,-25.594167,-54.489444,786.0,South America,BR,BR-PR,Foz do Iguaçu,2194.8648000000003,45.110400000000006,medium,4,10401.159055139991,global
XAP,Serafin Enoss Bertaso Airport,Serafin Enoss Bertaso,medium_airport,-27.134199,-52.656601,2154.0,South America,BR,BR-SC,Chapecó,2059.8384,45.110400000000006,medium,4,10452.017221773614,global
XSP,Seletar Airport,Seletar,medium_airport,1.41555,103.86673,36.0,Asia,SG,SG-02,Seletar,1835.8104,46.0248,small,4,10489.21404173941,global
LIH,Lihue Airport,Lihue,medium_airport,21.976,-159.339005,153.0,Oceania,US,US-HI,Lihue,1981.2,45.72,small,4,11608.095990057089,global
MKK,Molokai Airport,Molokai,medium_airport,21.152901,-157.095993,454.0,Oceania,US,US-HI,Kaunakakai,1369.7712000000001,30.48,small,4,11655.573174716732,global
JHM,Kapalua Airport,Kapalua,medium_airport,20.9629,-156.673004,256.0,Oceania,US,US-HI,Lahaina,914.4000000000001,30.48,small,4,11667.618043222239,global
