iata_code,month,monthly_flights
AT_LOWW_EG_HEGN,2024-03,1025151175648442912217564844291221990399569947
AT_LOWW_EL_LGAV,2024-01,234116118340681722416844340681722416844416932065321040
AT_LOWW_EL_LGAV,2024-02,1748787284411416614275284411416614275305601526215298
AT_LOWW_EL_LGAV,2024-03,1989999320021524216760320021524216760353461765617690
AT_LOWW_EL_LGIR,2024-03,422629221408629221408808400408
AT_LOWW_EL_LGRP,2024-02,312477155322477155322540180360
AT_LOWW_EL_LGRP,2024-03,1055129755274512975527451778890888
AT_LOWW_EL_LGTS,2024-01,763838112175892532511217589253251369068356855
AT_LOWW_EL_LGTS,2024-02,482424733636713665733636713665840541904215
AT_LOWW_EL_LGTS,2024-03,5829299223440048239223440048231052552495276
AT_LOWW_ES_GCLP,2024-01,542727885945484311885945484311996249495013
AT_LOWW_ES_GCLP,2024-02,5527289537459149469537459149461028850455243
AT_LOWW_ES_GCLP,2024-03,5930299800513946619800513946611087055195351
AT_LOWW_ES_GCTS,2024-01,108545419176951996571917695199657214161067610740
AT_LOWW_ES_GCTS,2024-02,106535319513956199521951395619952210981053310565
AT_LOWW_ES_GCTS,2024-03,110555519656997096861965699709686219691098010989
AT_LOWW_ES_LEAL,2024-01,482424796639823984796639823984884144194422
AT_LOWW_ES_LEAL,2024-02,321616547426862788547426862788583529162919
AT_LOWW_ES_LEAL,2024-03,482424831040914219831040914219888444424442
AT_LOWW_ES_LEBL,2024-01,298149149485002377724723485002377724723578442889528949
AT_LOWW_ES_LEBL,2024-02,286143143519662572326243519662572326243562122807728135
AT_LOWW_ES_LEBL,2024-03,329165164608333031330520608333031330520642323218932043
AT_LOWW_ES_LEIB,2024-03,211311137174311137174360180180
AT_LOWW_ES_LEMD,2024-01,254127127371071920217905371071920217905448902245722433
AT_LOWW_ES_LEMD,2024-02,232116116370081849418514370081849418514412262061720609
AT_LOWW_ES_LEMD,2024-03,252126126408372072020117408372072020117445662227622290
AT_LOWW_ES_LEMG,2024-01,1417071221341162810506221341162810506273911365813733
AT_LOWW_ES_LEMG,2024-02,1346767240911161312478240911161312478265071325213255
AT_LOWW_ES_LEMG,2024-03,1577879286001389414706286001389414706307161527115445
AT_LOWW_ES_LEPA,2024-01,124626216996851584811699685158481223361117011166
AT_LOWW_ES_LEPA,2024-02,13266662048096161086420480961610864225341123211302
AT_LOWW_ES_LEPA,2024-03,1788989296571388915768296571388915768327611635316408
AT_LOWW_ES_LEVC,2024-01,5628288683448541988683448541981007950345045
AT_LOWW_ES_LEVC,2024-02,5829299548458249669548458249661043652145222
AT_LOWW_ES_LEVC,2024-03,844242144267058736814426705873681538776847703
AT_LOWW_ES_LEZL,2024-01,482424661335673046661335673046851642744242
AT_LOWW_ES_LEZL,2024-02,402020646230953367646230953367706135243537
AT_LOWW_ES_LEZL,2024-03,442222719534933702719534933702793639783958
AT_LOWW_ET_HAAB,2024-01,62313115789798478059520484546751926196309631
AT_LOWW_ET_HAAB,2024-02,58292915046779072569169486643031755787758782
AT_LOWW_ET_HAAB,2024-03,62313114642757470688904460542991908795429545
AT_LOWW_FI_EFHK,2024-01,154777714643703476091464370347609217961089810898
AT_LOWW_FI_EFHK,2024-02,138696915245780874371524578087437207651038210383
AT_LOWW_FI_EFHK,2024-03,158797917120844886721712084488672219501097510975
AT_LOWW_FR_LFML,2024-01,542727627630573219627630573219839641954201
AT_LOWW_FR_LFML,2024-02,402020523628292407523628292407642632183208
AT_LOWW_FR_LFML,2024-03,442222587226993173587226993173731136533658
AT_LOWW_FR_LFMN,2024-01,7940399982521947639982521947631440972887121
AT_LOWW_FR_LFMN,2024-02,763838106985343535510698534353551332966616668
AT_LOWW_FR_LFMN,2024-03,1025151147086885782314708688578231862093039317
AT_LOWW_FR_LFOB,2024-01,341717554726462901554726462901615630783078
AT_LOWW_FR_LFOB,2024-02,281414462023252295462023252295504225222520
AT_LOWW_FR_LFOB,2024-03,5929309846461152359846461152351086253415521
AT_LOWW_FR_LFPG,2024-01,292145147396041869020914396041869020914463572302823329
AT_LOWW_FR_LFPG,2024-02,317159158443082311821190443082311821190524342625226182
AT_LOWW_FR_LFPG,2024-03,393196197549672661728350549672661728350643253190832417
AT_LOWW_FR_LFSB,2024-01,854243688833613527688833613527989348885005
AT_LOWW_FR_LFSB,2024-02,844242693635813355693635813355953447344800
AT_LOWW_FR_LFSB,2024-03,804040707335623511707335623511910345434560
AT_LOWW_HR_LDDU,2024-01,211328164164328164164344164180
AT_LOWW_HR_LDDU,2024-03,14771715618109717156181097222011021118
AT_LOWW_HR_LDSP,2024-03,15782001726127520017261275266912341435
AT_LOWW_HR_LDZA,2024-01,18492929049491541349049491541341579478457949
AT_LOWW_HR_LDZA,2024-02,16080808810433444768810433444761408169947087
AT_LOWW_HR_LDZA,2024-03,207103104114945557593711494555759371837891059273
AT_LOWW_HR_LDZD,2024-03,2111934015319340153360180180
AT_LOWW_HU_LHBP,2024-01,13667697257384634117257384634111573178477884
AT_LOWW_HU_LHBP,2024-02,13266667615357240437615357240431496275447418
AT_LOWW_HU_LHBP,2024-03,14774739761465751049761465751041668784798208
AT_LOWW_IE_EIDW,2024-01,804040128795975690412879597569041468073387342
AT_LOWW_IE_EIDW,2024-02,924646145067213729314506721372931683284168416
AT_LOWW_IE_EIDW,2024-03,1065353174258713871217425871387121940397029701
AT_LOWW_IL_LLBG,2024-01,11155561838990839306183899083930620169998710182
AT_LOWW_IL_LLBG,2024-02,1366868238561195711899238561195711899251631259812565
AT_LOWW_IL_LLBG,2024-03,1346767236831167812005236831167812005249621246312499
AT_LOWW_IS_BIKF,2024-01,1789333715191818333715191818404519032142
AT_LOWW_IS_BIKF,2024-02,331716607030223048607030223048694735833364
AT_LOWW_IS_BIKF,2024-03,351718651832273291651832273291724435333711
AT_LOWW_IT_LIBD,2024-01,402020633832013137633832013137734636743672
AT_LOWW_IT_LIBD,2024-02,241212388219251957388219251957437421872187
AT_LOWW_IT_LIBD,2024-03,502525795138364115795138364115916045704590
AT_LOWW_IT_LICC,2024-01,341717528327062577528327062577625231263126
AT_LOWW_IT_LICC,2024-02,241212396719612006396719612006446622322234
AT_LOWW_IT_LICC,2024-03,442222686331053758686331053758800939934016
AT_LOWW_IT_LICJ,2024-03,1688230510161289230510161289273813631375
AT_LOWW_IT_LIMC,2024-01,224112112241631135812805241631135812805333921666416728
AT_LOWW_IT_LIMC,2024-02,230115115262941328813006262941328813006338351687816957
AT_LOWW_IT_LIMC,2024-03,244121123300241422915795300241422915795374911850818983
AT_LOWW_IT_LIME,2024-01,13869692019797321046520197973210465250701254112529
AT_LOWW_IT_LIME,2024-02,1256362204991020010299204991020010299227141145411260
AT_LOWW_IT_LIME,2024-03,1366868226051099211613226051099211613248271241512412
AT_LOWW_IT_LIPE,2024-01,1045252104555090536510455509053651369068006890
