STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_ES_LEVC,AMSTERDAM/SCHIPHOL airport - VALENCIA airport,2023,,3015,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_ES_LEZL,AMSTERDAM/SCHIPHOL airport - SEVILLA airport,2023,,895,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_FI_EFHK,AMSTERDAM/SCHIPHOL airport - HELSINKI/VANTAA airport,2023,,3679,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_FR_LFBD,AMSTERDAM/SCHIPHOL airport - BORDEAUX-MERIGNAC airport,2023,,2000,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_FR_LFBO,AMSTERDAM/SCHIPHOL airport - TOULOUSE/BLAGNAC airport,2023,,2137,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_FR_LFLL,AMSTERDAM/SCHIPHOL airport - LYON SAINT-EXUPERY airport,2023,,2537,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_FR_LFML,AMSTERDAM/SCHIPHOL airport - MARSEILLE-PROVENCE airport,2023,,1958,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_FR_LFMN,AMSTERDAM/SCHIPHOL airport - NICE-COTE D'AZUR airport,2023,,3355,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_FR_LFPG,AMSTERDAM/SCHIPHOL airport - PARIS-CHARLES DE GAULLE airport,2023,,7535,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,A,Annual,FLIGHT,Flight,CAF_PAS,Commercial passenger air flights,NL_EHAM_FR_LFRS,AMSTERDAM/SCHIPHOL airport - NANTES ATLANTIQUE airport,2023,,1743,,,,,
