airport_code,airport_name,city,country,latitude,longitude,distance_from_ams,klm_departures,klm_arrivals,klm_total_flights,route_diversity,delay_rate,delay_count,total_tracked_flights,schiphol_flight_count,hub_potential_score,flight_volume_score,diversity_score,reliability_score,distance_score,geographic_score
CAE,COLUMBIA METROPOLITAN AIRPORT,COLUMBIA,UNITED STATES,33.9364,-81.1158,6831.107605070806,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1734364996612615,0.0,0.0,0.1,0.3671824983063076,0.07343649966126152
MEM,MEMPHIS INTERNATIONAL AIRPORT,MEMPHIS,UNITED STATES,35.0497,-89.9789,7295.003770278808,0.0,0.0,0.0,0,0.0,0,0,0.0,0.15147962692842587,0.0,0.0,0.1,0.25739813464212924,0.05147962692842585
TNR,IVATO INTERNATIONAL AIRPORT,ANTANANARIVO,MADAGASCAR,-18.8,47.4833,8917.60576912012,0.0,0.0,0.0,0,0.0,0,0,0.0,0.10973241000871005,0.0,0.0,0.1,0.04866205004355023,0.009732410008710047
KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,2.7433,101.6933,10235.448590261216,1.0,1.0,2.0,2,0.0,0,2,1.0,0.3348832714049298,0.13333333333333333,0.09999999999999999,0.1,0.007749690357982061,0.0015499380715964122
PIT,PITTSBURGH INTERNATIONAL AIRPORT,PITTSBURGH,UNITED STATES,40.4967,-80.2358,6263.896445633839,0.0,0.0,0.0,0,0.0,0,0,0.0,0.20538960184081,0.0,0.0,0.1,0.5269480092040499,0.10538960184080999
SAT,SAN ANTONIO INTERNATIONAL AIRPORT,SAN ANTONIO,UNITED STATES,29.5383,-98.4719,8277.083763074786,0.0,0.0,0.0,0,0.0,0,0,0.0,0.12032063103303203,0.0,0.0,0.1,0.10160315516516011,0.020320631033032024
SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,UNITED STATES,47.4472,-122.3056,7840.240090199474,0.0,0.0,0.0,0,0.0,0,0,0.0,0.13165470746974242,0.0,0.0,0.1,0.1582735373487121,0.03165470746974242
ONT,ONTARIO INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,34.0572,-117.6081,8906.852463716676,0.0,0.0,0.0,0,0.0,0,0,0.0,0.10986178541666237,0.0,0.0,0.1,0.04930892708331186,0.009861785416662373
NBO,JOMO KENYATTA INTERNATIONAL AIRPORT,NAIROBI,KENYA,-1.3167,36.9308,6677.110885446875,0.0,0.0,0.0,0,0.0,0,0,0.0,0.18165083369234006,0.0,0.0,0.1,0.4082541684617002,0.08165083369234005
DAB,DAYTONA BEACH INTERNATIONAL AIRPORT,DAYTONA BEACH,UNITED STATES,29.1825,-81.0528,7212.763673774548,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1550414239022429,0.0,0.0,0.1,0.27520711951121446,0.0550414239022429
LGA,LA GUARDIA AIRPORT,NEW YORK,UNITED STATES,40.7794,-73.8758,5843.791502187607,0.0,0.0,0.0,0,0.0,0,0,0.0,0.2307610325830577,0.0,0.0,0.1,0.6538051629152885,0.13076103258305768
AVL,ASHEVILLE REGIONAL AIRPORT,ASHEVILLE/HENDERSONV.,UNITED STATES,35.435,-82.5411,6802.09065995673,0.0,0.0,0.0,0,0.0,0,0,0.0,0.17495240845743776,0.0,0.0,0.1,0.3747620422871888,0.07495240845743777
GNV,GAINESVILLE REGIONAL AIRPORT,GAINESVILLE,UNITED STATES,29.6897,-82.2758,7250.772582929781,0.0,0.0,0.0,0,0.0,0,0,0.0,0.15337684663391538,0.0,0.0,0.1,0.2668842331695768,0.05337684663391537
EWR,NEWARK LIBERTY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,40.6958,-74.1717,5868.699518300798,0.0,0.0,0.0,0,0.0,0,0,0.0,0.22925828738111567,0.0,0.0,0.1,0.6462914369055783,0.12925828738111567
YVR,VANCOUVER INTERNATIONAL AIRPORT,VANCOUVER,CANADA,49.1872,-123.1853,7708.1419951444195,0.0,0.0,0.0,0,0.0,0,0,0.0,0.13585660301228425,0.0,0.0,0.1,0.17928301506142114,0.03585660301228423
DPS,NGURAH RAI AIRPORT,DENPASAR-BALI,INDONESIA,-8.7486,115.165,12156.691556894775,0.0,1.0,1.0,1,0.0,0,1,0.0,0.21671555899509123,0.06666666666666667,0.049999999999999996,0.1,0.0002444616421228684,4.889232842457368e-05
LIT,LITTLE ROCK CLINTON NATIONAL AIRPORT,LITTLE ROCK,UNITED STATES,34.7292,-92.2344,7458.248810960688,0.0,0.0,0.0,0,0.0,0,0,0.0,0.14485260914522702,0.0,0.0,0.1,0.22426304572613506,0.04485260914522701
FLL,FORT LAUDERDALE INTERNATIONAL AIRPORT,FORT LAUDERDALE,UNITED STATES,26.0742,-80.1517,7410.508253803893,0.0,0.0,0.0,0,0.0,0,0,0.0,0.14672930798885517,0.0,0.0,0.1,0.23364653994427576,0.046729307988855155
ORF,NORFOLK INTERNATIONAL AIRPORT,NORFOLK,UNITED STATES,36.8958,-76.2014,6283.405975649079,0.0,0.0,0.0,0,0.0,0,0,0.0,0.20422734368988396,0.0,0.0,0.1,0.5211367184494198,0.10422734368988396
SMF,SACRAMENTO INTERNATIONAL AIRPORT,SACRAMENTO,UNITED STATES,38.6956,-121.5983,8648.115185561806,0.0,0.0,0.0,0,0.0,0,0,0.0,0.11343274683313159,0.0,0.0,0.1,0.06716373416565795,0.01343274683313159
BOI,BOISE AIR TERMINAL (GOWEN FIELD),BOISE,UNITED STATES,43.5653,-116.225,7950.9554552814225,0.0,0.0,0.0,0,0.0,0,0,0.0,0.12841909391881953,0.0,0.0,0.1,0.1420954695940976,0.028419093918819523
RDU,RALEIGH/DURHAM INTERNATIONAL AIRPORT,RALEIGH/DURHAM,UNITED STATES,35.8753,-78.7819,6528.179777108898,0.0,0.0,0.0,0,0.0,0,0,0.0,0.18995915584488032,0.0,0.0,0.1,0.4497957792244015,0.0899591558448803
CGK,SOEKARNO-HATTA INTERNATIONAL AIRPORT,JAKARTA,INDONESIA,-6.1167,106.65,11352.164047174356,0.0,1.0,1.0,1,0.0,0,1,1.0,0.21689925803349996,0.06666666666666667,0.049999999999999996,0.1,0.001162956834166458,0.00023259136683329162
RSW,SOUTHWEST FLORIDA INTERNATIONAL AIRPORT,FORT MYERS,UNITED STATES,26.5333,-81.75,7477.839663053131,0.0,0.0,0.0,0,0.0,0,0,0.0,0.14409719946802224,0.0,0.0,0.1,0.22048599734011112,0.04409719946802223
PPT,FAAA INTERNATIONAL AIRPORT,TAHITI,FRENCH POLYNESIA,-17.5472,-149.6139,15549.351600781783,0.0,0.0,0.0,0,0.0,0,0,0.0,0.10000001147748884,0.0,0.0,0.1,5.7387444194182765e-08,1.1477488838836554e-08
BKK,SUVARNABHUMI INTERNATIONAL AIRPORT,BANGKOK,THAILAND,13.6858,100.7489,9207.006579702922,0.0,0.0,0.0,0,0.0,0,0,0.0,0.10674770654753918,0.0,0.0,0.1,0.03373853273769585,0.00674770654753917
MCO,ORLANDO INTERNATIONAL AIRPORT,ORLANDO,UNITED STATES,28.4319,-81.3247,7292.3882862458895,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1515906156201957,0.0,0.0,0.1,0.25795307810097845,0.05159061562019569
BTR,RYAN AIRPORT,BATON ROUGE,UNITED STATES,30.5317,-91.1506,7745.152679938177,0.0,0.0,0.0,0,0.0,0,0,0.0,0.13464128892114655,0.0,0.0,0.1,0.17320644460573273,0.03464128892114655
MFR,ROGUE VALLEY INTERNATIONAL AIRPORT,MEDFORD,UNITED STATES,42.3736,-122.8722,8348.55520036929,0.0,0.0,0.0,0,0.0,0,0,0.0,0.11881352122113485,0.0,0.0,0.1,0.09406760610567422,0.018813521221134846
LEX,BLUE GRASS AIRPORT,LEXINGTON,UNITED STATES,38.0397,-84.6022,6723.781569565751,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1791182929565732,0.0,0.0,0.1,0.3955914647828659,0.07911829295657319
SAN,SAN DIEGO INTERNATIONAL AIRPORT,SAN DIEGO,UNITED STATES,32.7328,-117.1872,9011.722138043095,0.0,0.0,0.0,0,0.0,0,0,0.0,0.10865941802732831,0.0,0.0,0.1,0.04329709013664152,0.008659418027328305
TUS,TUCSON INTERNATIONAL AIRPORT,TUCSON,UNITED STATES,32.125,-110.9492,8750.018046460778,0.0,0.0,0.0,0,0.0,0,0,0.0,0.11191720836134852,0.0,0.0,0.1,0.05958604180674262,0.011917208361348526
MLB,MELBOURNE INTERNATIONAL AIRPORT,MELBOURNE,UNITED STATES,28.1025,-80.6303,7274.00938893571,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1523747802061988,0.0,0.0,0.1,0.2618739010309939,0.05237478020619878
GRR,GERALD R. FORD INTERNATIONAL AIRPORT,GRAND RAPIDS,UNITED STATES,42.8811,-85.5242,6402.1275171346015,0.0,0.0,0.0,0,0.0,0,0,0.0,0.19722620661196405,0.0,0.0,0.1,0.4861310330598202,0.09722620661196404
AUA,REINA BEATRIX AIRPORT,ARUBA,ARUBA,12.5022,-70.0139,7878.549264779629,1.0,1.0,2.0,2,0.0,0,2,0.0,0.36383936173610953,0.13333333333333333,0.09999999999999999,0.1,0.15253014201388074,0.03050602840277615
AMS,SCHIPHOL AIRPORT,AMSTERDAM,NETHERLANDS,52.3083,4.7681,0.0,5.0,1.0,6.0,6,0.16666666666666666,1,6,0.0,0.0,,,,0.1353352832366127,
ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,33.6408,-84.4272,7065.687978049081,0.0,0.0,0.0,0,0.0,0,0,1.0,0.16177581959468776,0.0,0.0,0.1,0.3088790979734387,0.061775819594687746
TPA,TAMPA INTERNATIONAL AIRPORT,TAMPA,UNITED STATES,27.9731,-82.5353,7409.569093447613,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1467667364768927,0.0,0.0,0.1,0.23383368238446348,0.046766736476892695
GSO,PIEDMONT TRIAD INTERNATIONAL AIRPORT,GREENSBORO/HIGH POINT,UNITED STATES,36.0919,-79.9428,6585.355544933463,0.0,0.0,0.0,0,0.0,0,0,0.0,0.18673083349117808,0.0,0.0,0.1,0.4336541674558903,0.08673083349117806
SCL,ARTURO MERINO BENITEZ AIRPORT,SANTIAGO,CHILE,-33.3833,-70.7833,12002.427312038586,0.0,1.0,1.0,1,0.0,0,1,0.0,0.21673343422340363,0.06666666666666667,0.049999999999999996,0.1,0.00033383778368477237,6.676755673695448e-05
DFW,DALLAS/FT. WORTH INTERNATIONAL AIRPORT,DALLAS,UNITED STATES,32.8944,-97.0297,7900.097722008889,0.0,0.0,0.0,0,0.0,0,0,0.0,0.1298735085620314,0.0,0.0,0.1,0.14936754281015688,0.029873508562031376
DAL,LOVE FIELD,DALLAS,UNITED STATES,32.8469,-96.8533,7893.755923243684,0.0,0.0,0.0,0,0.0,0,0,0.0,0.13005864984029636,0.0,0.0,0.1,0.1502932492014817,0.030058649840296343
CAN,BAIYUN INTERNATIONAL AIRPORT,GUANGZHOU,CHINA,23.1833,113.2661,9156.41336480229,0.0,0.0,0.0,0,0.0,0,0,0.0,0.10720476431755198,0.0,0.0,0.1,0.036023821587759866,0.007204764317551973
